date,diff_reg
11/19/20,1550.6271901341852
11/20/20,1565.8272252940144
11/21/20,1576.2574004163262
11/22/20,1582.558100067397
11/23/20,1587.3566148089783
11/24/20,1592.1532739999125
11/25/20,1608.1384969646056
11/26/20,1634.7788092408641
11/27/20,1676.8814887767833
11/28/20,1733.8711033583672
11/29/20,1800.5459616137955
11/30/20,1881.9346505065025
12/1/20,1977.4504140273204
12/2/20,2081.1928654323965
12/3/20,2182.4093338290036
12/4/20,2272.8220095152265
12/5/20,2348.694402940484
12/6/20,2405.1599833992746
12/7/20,2452.416411397405
12/8/20,2492.518400236272
12/9/20,2524.4008330646398
12/10/20,2554.083927120141
12/11/20,2590.6212244526764
12/12/20,2635.680021863213
12/13/20,2687.341492400305
12/14/20,2731.0205414357606
12/15/20,2758.18239659812
12/16/20,2764.9198284683625
12/17/20,2748.5983826467104
12/18/20,2715.1481703752283
12/19/20,2674.7333914338647
12/20/20,2627.421438507735
12/21/20,2581.180218080094
12/22/20,2535.326559027665
12/23/20,2486.378779127138
12/24/20,2441.0395094788055
12/25/20,2407.3042715034762
12/26/20,2389.7840075205245
12/27/20,2391.550335319605
12/28/20,2411.2124853760924
12/29/20,2444.8248683719316
12/30/20,2490.869702071101
12/31/20,2551.8726153649613
1/1/21,2626.2026120934997
1/2/21,2712.866262866856
1/3/21,2810.363966369586
1/4/21,2912.63196957903
1/5/21,3006.373184787251
1/6/21,3088.1583165488187
1/7/21,3156.966371024991
1/8/21,3211.250240898601
1/9/21,3252.314538465971
1/10/21,3280.887097121492
1/11/21,3295.6652264622976
1/12/21,3288.6673160824785
1/13/21,3262.2181368233246
1/14/21,3225.4685318531665
1/15/21,3180.464640176578
1/16/21,3130.618180285283
1/17/21,3089.7191963650803
1/18/21,3067.4384291443753
1/19/21,3062.1565352286666
1/20/21,3072.0439175951487
1/21/21,3092.2630572643684
1/22/21,3112.079052791872
1/23/21,3126.0072265492536
1/24/21,3138.0895220611765
1/25/21,3153.6106179669
1/26/21,3166.9652635746183
1/27/21,3170.5943983667917
1/28/21,3157.041983012345
1/29/21,3128.0905657140424
1/30/21,3087.1968104118982
1/31/21,3045.277045825013
2/1/21,3006.9293023235527
2/2/21,2972.4606007194234
2/3/21,2932.3259971420007
2/4/21,2887.763144522893
2/5/21,2834.965308827284
2/6/21,2776.3151809440305
2/7/21,2714.0032693169874
2/8/21,2643.468094285441
2/9/21,2566.5687897865605
2/10/21,2476.8250304389744
2/11/21,2370.696258794488
2/12/21,2252.9066782178893
2/13/21,2129.4539738562926
2/14/21,2011.2954747613353
2/15/21,1896.3697945132744
2/16/21,1775.4994889703923
2/17/21,1651.9510883413984
